Ticket #,Name,Product,Customer,Pass 1,Phenomenon,Pass 2,Component,Operation,Unexpected State,Pass 3,Mechanism,Pass 4,Mechanism Class,Intervention Type,Intervention Action,
85200,Mass Meter Change Out Project,ISB,"Haskell, City of",success,Meter readings are incorrect after meter changeouts.,success,Meter reading calculation,calculate,meter readings are incorrect after meter changeouts,success,"Meter reading calculation logic fails to account for meter changeout events, leading to incorrect cumulative readings.",success,calculation_logic_error,software_fix,update meter reading calculation logic to incorporate meter changeout events and reset cumulative readings,
84954,LANSING CITY SHARE NOT SHOWING IN BANK RECONCILIATION REPORT LIKE CHICAGO HEIHTS CITY SHARE,Impresa,Hammond Water Works,success,City share is not showing in the bank reconciliation report,success,Bank reconciliation report,load,city share is not showing,success,Report data retrieval fails to include city share information due to an incomplete query.,success,calculation_logic_error,software_fix,update report data retrieval query to include city share information,
84929,CSUP-32762: Unable to open GP,Impresa,Lumberton MUD,success,GP fails to launch due to antivirus software blocking the application.,success,GP application,load,fails to launch due to antivirus software blocking the application,success,Application launch is blocked by external security software preventing necessary file access,success,permission_error,configuration_change,update security software configuration to allow necessary file access for application launch,
84732,New Build Request for Version 4.21.3.0,Impresa,Wise County Public Service Authority,success,Impresa fails to create an import file,success,Impresa,create,fails to create an import file,success,Impresa file generation logic fails to produce an output file due to an internal data processing error.,success,calculation_logic_error,software_fix,update Impresa file generation logic to correct internal data processing error,
84660,Quickbooks Interface ORD-001205 Project,Impresa,Las Campanas Water Cooperative,success,Impresa interface fails to test with QuickBooks due to 'Class not registered' error.,success,Impresa → QuickBooks interface,transfer,interface fails to test with QuickBooks due to 'Class not registered' error,success,QuickBooks interface component fails to initialize due to a missing or corrupted COM registration for a required QuickBooks library.,success,dependency_missing,configuration_change,register QuickBooks COM libraries with the operating system,
84372,City of Fulton - Neptune 360 for the new Impresa Project,IUS,,success,Files fail to upload from Neptune 360 to Impressa,success,Neptune 360 → Impressa interface,import,files fail to upload,success,Impressa interface rejects file upload due to failed API credential validation,success,authentication_failure,configuration_change,update Impressa API integration configuration with valid credentials,
84356,DO# - 5033: Billing issues,Impresa,Buffalo Water Board,success,System calculates estimated usage below the expected threshold when previous readings include negative values.,success,Usage calculation,calculate,estimated usage below expected threshold when previous readings include negative values,success,Usage calculation logic produces incorrect estimates due to negative values in historical readings.,success,calculation_logic_error,software_fix,update usage calculation logic to normalize or reject negative historical readings,
84073,Alter Online Bill Tax line Location,InvoiceCloud,InvoiceCloud,success,Invoice Cloud no longer uses a template for LCWC bills.,success,Invoice Cloud integration,load,Invoice Cloud no longer uses a template for LCWC bills,success,Invoice Cloud integration fails to load due to a schema mismatch with the expected bill template format.,success,schema_mismatch,integration_fix,align Invoice Cloud bill template schema with expected format,
37153,Paya Transfer Files ORD-001200,ISB,Porter MUD,success,"Import file format changed, causing import process to fail",success,Import process,import,import process fails due to file format change,success,Import parser rejects input file due to schema mismatch with expected import format,success,schema_mismatch,validation_guardrail,add schema validation to import parser to reject input files with schema mismatches,
37131,REVISE INVOICE MESSAGE,Impresa,Nelson County Service Authority,success,Water restriction message continues to appear on statements after it is no longer needed.,success,Statement generation,load,water restriction message continues to appear on statements after it is no longer needed,success,Statement generation logic fails to clear a stale water restriction flag after the condition is no longer met,success,state_inconsistency,software_fix,update statement generation logic to clear water restriction flag when condition is no longer met,
36999,DO# 6635 - Description of Service Charge printing twice - TFS: 8433,Impresa,Greene County Board of Commissioners,success,Service charge prints twice on bills for level billing customers,success,Service charge printing,print,service charge prints twice on bills for level billing customers,success,Billing calculation logic applies the service charge rule twice during bill generation for level billing customers,success,calculation_logic_error,software_fix,update billing calculation logic to apply service charge rule only once for level billing customers,
36558,migration to new server project & iONE Resetup Washington County,Impresa,Washington County Service Auth.,success,Ebill does not work post migration,success,Ebill,load,does not work post migration,success,Ebill data loading fails due to schema mismatch with migrated data format,success,schema_mismatch,data_repair,correct ebill data format to align with migrated schema,
36173,Company Defined Check01 to Check10 fields default to NULL,Impresa,Hammond Water Works,success,Database script updates company defined data fields to ensure null values are treated as zero,success,Company defined data fields,update,null values are treated as zero,success,Data validation logic incorrectly converts null values to zero during field updates,success,data_validation_failure,software_fix,update data validation logic to correctly handle null values instead of converting them to zero during field updates,
35782,Impresa Cloud Order - ORD-001180,Impresa,Wannacomet Water Company,success,Parallels Web client does not see shared network drives,success,Parallels Web client,load,does not see shared network drives,success,Parallels Web client fails to load shared network drives due to an interface communication failure with the underlying virtualization service.,success,integration_communication_failure,integration_fix,update Parallels Web client to re-establish communication with the virtualization service interface,
35778,Server Migration Project,ICIS,Laclede County Pwsd No. 3,success,The counter computer is unable to print cash register receipts and customer invoices.,success,Cash register receipts and customer invoices,print,unable to print,success,Printing subsystem fails to communicate with the print spooler due to an interface communication error.,success,integration_communication_failure,integration_fix,update printing subsystem to correctly format communication requests for the print spooler interface,
34990,Mass Meter Change Out Project,Impresa,,success,Meter exchanges within utility billing generate reports with errors,success,Meter exchanges within utility billing,generate,reports with errors,success,Report generation logic encounters data inconsistencies during meter exchange processing,success,data_validation_failure,validation_guardrail,add validation to meter exchange processing to reject records with inconsistent data,
34617,MID Device Creation Project DO#4995,Impresa,Eldorado Area Water & Sanitation (Eldorado OMI),success,"Serial number did not move to the meter number area, however, the endpoints are showing up as devices.",success,Meter serial number transfer,transfer,"serial number did not move to the meter number area, however, the endpoints are showing up as devices",success,Data synchronization process fails to update meter serial number association after endpoint registration,success,synchronization_failure,software_fix,update data synchronization process to correctly persist meter serial number association after endpoint registration,
33861,Sensus VFlex Project,Impresa,"Mercer Island, City of",success,Billing software expects Book 5 and 6 reads when only Book 4 reads are uploaded.,success,Billing module,import,expects Book 5 and 6 reads when only Book 4 reads are uploaded,success,Billing import parser rejects input file due to missing expected book read data,success,data_validation_failure,validation_guardrail,add validation to billing import parser to enforce presence of expected book read data,
33667,Upgrading to Impresa Cloud ORD-001149,Impresa,,success,Meter import fails when uploading reads to other municipalities,success,Meter import process,import,meter import fails when uploading reads to other municipalities,success,Meter import process rejects reads due to missing or invalid municipality identifier in the input data,success,data_validation_failure,validation_guardrail,add validation to meter import process to reject reads with missing or invalid municipality identifiers,
33384,"New upgrade, unable to upload Key Bank Lockbox file",Impresa,,success,Lockbox file upload fails,success,Lockbox file import,import,file upload fails,success,Lockbox file import parser rejects file due to schema mismatch with expected import format,success,schema_mismatch,validation_guardrail,add schema validation to lockbox file import parser to reject files with schema mismatches,
33166,RE: Meter warranty dates,Impresa,,success,Warranty dates are updated with install dates instead of 10 years from install dates,success,Warranty date calculation,calculate,warranty date is set to install date instead of 10 years out,success,Warranty date calculation logic incorrectly uses install date instead of applying a 10-year offset.,success,calculation_logic_error,software_fix,update warranty calculation logic to apply a 10-year offset to the install date,
32904,New Service Agreement Is Not Correct - TFS 10347 - DO#3627,Impresa,Bedford Regional Water Authority,success,New Service Agreement form has not been fixed,success,Service Agreement form,update,form has not been fixed,success,Form update logic fails to persist changes due to a state inconsistency in the UI component.,success,state_inconsistency,software_fix,update UI component state management to correctly persist form changes,
31752,Removing Meter from service location,Impresa,Bear Creek Special Utility District,success,Removing a meter from a service location fails with an upload error.,success,Meter removal workflow,update,meter removal fails with upload error,success,Meter removal workflow fails to update due to an integration communication error during file upload.,success,integration_communication_failure,integration_fix,update integration service to implement retry logic for file upload requests,
31230,Laclede - Transfer to GL - Deposit Work for Microfund integration,ICIS,,success,The system does not automatically update the Redistribute of Credits GL account with a new number for previously created transactions.,success,Credit redistribution GL account,update,system does not automatically update with a new number for previously created transactions,success,Transaction update logic fails to apply the new GL account number to existing records,success,state_inconsistency,software_fix,update transaction update logic to persist the new GL account number to existing records,
31082,[EXTERNAL] Mapping Inoperative,Impresa,Commonwealth Utilities Corporation,success,The map on the desktop no longer appears on the work order screen.,success,Work Order screen,load,map does not appear,success,Map UI component fails to render due to missing response from the map service API,success,integration_communication_failure,integration_fix,add retry logic to map UI component for map service API requests,
29696,ON HOLD - Meter Re Routing - DO # 9783,Impresa,Eldorado Area Water &amp; Sanitation (Eldorado OMI),success,Meter report shows original book/sequence data after script execution in test environment,success,Meter report,load,shows original book/sequence data after script execution,success,Meter report data cache remains inconsistent after script execution,success,cache_inconsistency,software_fix,update script execution logic to invalidate or refresh meter report data cache upon completion,
24434,[EXTERNAL] FW: Tokay Backflow,Impresa,Greene County Board of Commissioners,success,Files fail to upload to Invoice Cloud,success,Invoice Cloud integration,import,files fail to upload,success,Integration authentication service rejects file upload due to failed API credential validation,success,authentication_failure,configuration_change,update API credential validation in integration authentication service,
24395,[EXTERNAL] Question about Transfer to GL,Impresa,,success,Account description shows internet payment while pay method says cash,success,Payment display fields,load,account description shows internet payment while pay method says cash,success,Field mapping logic incorrectly associates payment display fields with account description data,success,field_mapping_error,software_fix,correct field mapping logic to accurately associate payment display fields with account description data,
21457,Check fields in Company defined fields.,Impresa,,success,Renaming a field in Impresa does not save when using 'return' or 'tab' keys.,success,Impresa field renaming,update,changes do not save when using 'return' or 'tab' keys,success,UI input handler fails to capture field value changes when using 'return' or 'tab' keys,success,state_inconsistency,software_fix,update UI input handler to persist field value changes on 'return' or 'tab' key events,
2587,"Call on 08/15/17 - Bill wording print changes, LEAC to Fuel Adjustment Charge",ICIS,,success,"LEAC charges on bills are printed individually as FAC1, FAC3, and FAC5 instead of as Fuel Adjustment Charge (FAC).",success,Billing module,print,"LEAC charges on bills are printed individually as FAC1, FAC3, and FAC5 instead of as Fuel Adjustment Charge (FAC)",success,Billing print logic incorrectly maps LEAC charge codes to individual FAC codes instead of a consolidated FAC code.,success,integration_mapping_error,software_fix,update billing print logic to map LEAC charge codes to a consolidated FAC code instead of individual FAC codes,